rating,source_type,text,date
5,review,"Best design tool ever. Period.",2025-03-15
2,review,"Used to love it until UI3. Now I spend half my day hunting for tools that used to be right there. Constraints are now a dropdown — why? Clip content is a dropdown — WHY? Every update makes me slower. I'm not afraid of change, I'm annoyed by regressions. The people designing Figma's UI clearly don't use Figma 8 hours a day like I do.",2025-06-02
4,review,"After 4 years and 3 companies, Figma is still the best for UI design and basic prototyping. Auto-layout is brilliant — it maps so well to CSS flexbox that developer handoff is genuinely smooth now. That said, their 2025 pricing changes are aggressive and confusing. We keep getting charged for seats we thought we'd removed. Billing page is a maze. Great product, frustrating business.",2025-04-18
1,review,"Figma used to feel like it was made by designers for designers. Now it's a corporate cash grab. Dev Mode locked behind a paywall after we'd built our entire workflow around it. AI features are half-baked — Make Designs literally copied Apple's weather app. Meanwhile basic performance is degrading. Files with 100+ frames take 30 seconds to open. This is not the tool I fell in love with.",2025-07-11
5,review,"I can't design in the traditional sense — I'm a PM — but Figma lets me jump into files, leave comments on mockups, and even tweak copy without bothering our designers. Everything in the browser, zero friction for stakeholders. Our design team is in 3 time zones and it just works. Expensive at scale but worth every penny for the collaboration alone.",2025-02-28
3,review,"It's fine. Auto-layout is powerful but has the worst learning curve I've ever encountered in design software. 'Hug vs fill' and nested auto-layouts are genuinely painful to debug. Once it clicks you feel like a genius, but getting there was months of frustration. Collaborative features save enough time to offset the headache.",2025-05-20
1,review,"ABSOLUTE SCAM. I downgraded my team plan and Figma somehow created MORE seats and charged me more. There is literally no way to remove seats without contacting support. I've been double-charged for three months because a client accidentally clicked 'request edit access' and that silently upgraded them to a paid seat. No notification, no confirmation. This is dark UX by design. Moving to Penpot.",2025-08-05
4,review,"Figma is our bread and butter at our fintech startup. Real-time multiplayer is magic — I watch our junior designer working and give live feedback without scheduling a meeting. Plugin ecosystem is massive. Four stars instead of five because UI3 made the right panel less scannable and I keep losing the constraints controls. Also the mobile app might as well not exist — view-only is useless.",2025-01-22
2,review,"The tool underneath is brilliant but it's being buried under bad decisions. Every Config they announce features that sound amazing and then ship them broken. Slides crashes with 20+ slides. AI features got pulled for copyright concerns. Variables keep disappearing from our library. Stop adding new things and FIX WHAT'S BROKEN. I'm tired of telling my team 'hopefully they'll patch it.'",2025-06-14
5,review,"I learned design on Photoshop, migrated to Sketch, tried XD, and finally landed on Figma. It's not close. Browser-based means I design from any machine without installs. Component variants are a game-changer — I have a single button with 48 variants. Figma is the gold standard.",2025-03-30
3,review,"Good tool, shady company. The product is genuinely great for UI/UX design — fast, collaborative, intuitive. But the way they handle billing is deceptive. We're a small agency of 6 and I still don't fully understand our monthly bill. Share a file with a client for review and they accidentally upgrade themselves, you get charged. Product deserves 5 stars, business practices drag it to 3.",2025-04-05
1,review,"Unusable for large projects. Design system with ~800 components across 15 files takes 2-3 minutes just to open a file. Publishing library changes freezes my machine for 30 seconds. We bought 32GB M2 Max machines specifically because Figma said it was our problem. It's not. Memory management is abysmal. Looking at alternatives.",2025-07-29
4,review,"Distributed team across 4 countries and Figma makes async collaboration possible. Designers in Brazil, India, Germany, US all in the same file simultaneously. Comments and branching are essential. Main gripe: prototyping is still limited — no conditional logic or form validation, so for anything beyond click-throughs we switch to Protopie. For a tool calling itself 'the collaborative interface design tool,' the prototype engine feels stuck in 2018.",2025-05-08
2,review,"I'm a developer, not a designer, and Figma keeps making my life harder. They moved inspect features behind Dev Mode which costs $15/seat/month. Before, I could select an element and see spacing, colors, CSS. Now it's locked unless our company pays extra. We already pay for designer seats — why do developers need separate paid access just to READ specs? Holding design specs hostage.",2025-06-25
5,review,"Use it daily for everything from wireframes to high-fidelity. Rock solid. UI3 took a week to adjust, now I prefer the cleaner interface. Auto-layout is the best thing to happen to UI design since Sketch introduced Symbols. People complaining about performance need to clean up their files — you don't need 47 unused frames from three sprints ago.",2025-03-08
3,review,"Love-hate relationship. When it works, brilliant. When it doesn't, infuriating. Variables randomly disconnect. Prototype player shows different spacing than canvas. Publishing component changes sometimes takes 5+ minutes. AI features rushed — First Draft produces designs like someone just discovered Material Design. I'm locked in by ecosystem, but watching alternatives.",2025-08-15
1,review,"50% price increase overnight and dev mode became paid. For our team of 15 that's thousands more. What did we get? Buggy AI nobody asked for, a redesign that buried tools, and a presentation tool nobody uses because Google Slides exists. Figma's strategy feels disconnected from what design teams need. Actively exploring Penpot.",2025-04-22
5,review,"Changed my career. Before Figma I did UI mockups in Illustrator like a caveman. Auto-layout confused me for weeks, rage-quit three times, but once it clicked my productivity tripled. Now I manage a design system for 200 people and everything runs through Figma. Component properties are brilliant for consistency at scale. Only wish: let me edit on iPad. Sometimes I want to tweak from the couch.",2025-02-10
2,review,"Why change constraints position? Why make clip content a dropdown? Why hide plugins? Every designer at my company is slower since UI3. Figma team seems focused on flashy Config keynotes, not maintaining the tool that made them successful. Mobile app mirroring disconnects constantly.",2025-07-04
3,review,"Pricing model punishes collaboration, which is ironic since collaboration is the main selling point. Every time we share a file, there's risk a stakeholder accidentally upgrades to a paid seat. We made internal training docs just to explain how to safely VIEW a file. That's absurd. Design tool is great — auto-layout, components, real-time editing best in class. Seat management is user-hostile.",2025-05-25
4,review,"6 years with Sketch, 2 with XD, 3 with Figma. Figma is the best all-around. Design-to-code handoff is smooth — our developers actually enjoy working from Figma files, which I never thought I'd say. Plugin ecosystem is vast. Four stars because I still encounter weird auto-layout bugs in deeply nested components, and prototyping needs a proper overhaul with conditional logic.",2025-06-30
1,review,"Charged my credit card for a year subscription I never agreed to. Was on monthly, switched to annual without confirmation. Support took two weeks to respond, said no refunds. Predatory. Disputing with my bank.",2025-03-20
5,review,"Design agency with 30 people, Figma is our backbone. Design systems, client reviews, developer handoff — everything flows through it. Expensive at ~$15k/year but productivity justifies it. New branching feature is a game-changer for exploring directions. Not perfect — mobile is laughably bad, prototyping could be better — but best tool by far.",2025-08-01
2,review,"AI push is embarrassing. Make Designs plagiarized Apple's weather app. First Draft produces generic unusable wireframes. Credit system for AI feels like a mobile game. Figma, you're a design tool, not an AI company. Focus on making design better.",2025-04-30
3,review,"Been here since beta (2016). Core product improved massively, but recent direction concerns me. Adobe acquisition attempt and independence pushed aggressive monetization. Dev Mode pricing, seat complexity, AI credits — feels like optimizing for revenue per user, not happiness. Design tool is still excellent, but I'm learning Penpot just in case.",2025-07-18
4,review,"Front-end dev here. Inspect mode (even without Dev Mode) gives me colors, typography, spacing, CSS snippets — saves hours. Leaving comments on elements reduces miscommunications. Only real complaint: mobile app mirroring broken, no dark mode in 2025. How does a design tool not have dark mode on mobile? Small thing but speaks to neglect.",2025-05-15
1,review,"Switched our entire org from Sketch to Figma two years ago. Regret it. Promise was better collaboration, got constant performance issues, disappearing variables, and pricing that finds new ways to charge us. Last month $840 in 'additional seats' because team members shared files externally. Nobody approved it, nobody notified, finance flagged the bill. This is not enterprise treatment.",2025-06-10
5,review,"Figma delights me. Seeing teammates' cursors in real time, components propagate instantly, prototype an entire app flow in an afternoon. Yes there are bugs, yes pricing isn't perfect, but after the nightmare of emailing PSD files back and forth, Figma is a miracle. Auto-layout alone is worth the subscription.",2025-02-20
3,review,"Use it because my team does. If alone, I'd pick something simpler. Auto-layout is powerful but unintuitive — 3 years in, I still can't always figure out why a frame behaves unexpectedly. Hug vs fill poorly explained. UI3 made common operations require extra clicks. Good tool, not the flawless experience evangelists claim.",2025-07-25
2,review,"File organization is shockingly bad for a tool this old. No tagging, no 'in progress' vs 'complete' marking, mediocre search, flat project structure. Hundreds of files across dozens of projects, finding anything is a nightmare. For a company that champions UX, their own information architecture is surprisingly poor.",2025-04-12
5,review,"I teach UI/UX at a university. Figma's education plan is incredible — free for students and educators with full functionality. Browser-based means no IT headaches, students work from any lab computer. Community files and templates are fantastic learning resources. Figma understands that investing in education pays dividends in market dominance.",2025-03-25
1,review,"Figma Slides is the most half-baked product I've ever seen from a major company. Announced with fanfare at Config, shipped crashing if you have more than 15 slides with images. Text formatting inconsistent, can't import from Google Slides properly, templates generic. Why build a presentation tool when core product needs performance work? Embarrassing feature creep.",2025-08-10
