rating,date,source,text
1,2026-04-12,Trustpilot,"Booked 4 months ahead for a holiday and the host cancelled 6 days before our trip claiming 'property unavailable.' The listing was relisted the next day at 40% higher price. Airbnb's response was a $50 voucher and a 'rebooking credit' that didn't come close to covering the new price gap. Rebooking the same area for the same dates now costs $1,200 more than what I originally locked in. This is not guest protection. This is theater. A confirmed booking should mean something."
1,2026-03-28,Trustpilot,"Incompetent service. The host entered the property without my consent during my stay. This is a clear violation of Airbnb's core rules. I reported it immediately with photo evidence and a written timeline. After 3 weeks of back-and-forth with support agents who clearly hadn't read my previous messages, I received a 50% refund. Multiple requests to clarify why it was not a full refund went unanswered. The lack of accountability is unacceptable for a platform this size."
2,2026-04-04,App Store,"Good app but the pricing system is broken. I've used Airbnb for years. Browsing is smooth, the search filters are mostly fine, and the app itself is well designed. My problem is the pricing. You find a listing for $80 a night, go through the whole booking process, and get hit with a cleaning fee, a service fee, sometimes local taxes that nearly double the total. It feels intentionally buried. Just show me the real price upfront. Other platforms manage it."
1,2026-02-19,App Store,"Cleaning fees are out of control. $215 cleaning fee on a $198 two-night stay? What am I actually paying for. I'm leaving the place clean, taking out the trash, washing my own dishes. If a cleaning fee is more than $50 the host should be required to itemise what they're actually doing for that money. We need transparency or we'll all just go back to hotels."
5,2026-04-21,App Store,"Stayed in a beautiful apartment in Lisbon for 5 nights. The host was incredibly responsive, the place was spotless, and the location was perfect. This is what Airbnb is supposed to be. I will say — I research carefully now. Superhost only, 100+ reviews, read the most recent ones. With that filtering you can still have great experiences. But it takes work to find."
1,2026-03-15,Trustpilot,"My booking was cancelled because of a missed payment notification sent to an email I don't actively use. No SMS, no in-app notification, no follow-up. I lost my accommodation in Nice 3 days before my trip and had to pay double for a hotel. Airbnb's notification system for critical actions is broken. Why is email the only channel for a payment failure?"
2,2026-04-08,Google Play,"The filters need a complete overhaul. There is no way to filter for things that matter when you're working remotely — verified Wi-Fi speed, actual workspace, natural light. I'm spending hours messaging hosts asking the same questions every booking. Airbnb has the inventory, they just haven't built a product for people who stay more than 3 nights."
1,2026-04-15,ConsumerAffairs,"Host cancelled 12 hours before check-in. We had flights booked, kids excited, everything. The 'rebooking credit' was 30% of what comparable last-minute places now cost. Airbnb's customer service was polite but the system protects hosts more than guests. Hosts can cancel with limited consequences. Guests can cancel and lose money. The asymmetry is the whole problem."
3,2026-03-22,App Store,"Mixed feelings. The platform works fine. When you find a good host the experience is great. When something goes wrong support is slow and the resolution is rarely what you hoped for. I had a host who didn't reply to messages for 18 hours before check-in. Airbnb support eventually intervened but I'd been worrying for half a day. The platform needs to enforce host response times or push for hotel-like reliability."
5,2026-04-30,App Store,"I host a family cabin and the platform has worked well for me over 5 years. Good guests, easy management, the tools have improved. My only real complaint is that the new fee structure squeeze hosts indirectly — guests see cleaning fees and blame us, when most of us are just covering actual cleaning costs. The 'guest pays everything' fee model is creating bad will that hosts wear."
1,2026-02-26,Google Play,"AirCover is a marketing fiction. We had $4,200 in real damages from a party — broken furniture, cigarette burns, missing items. Documented everything with photos, receipts, contractor estimates. Submitted the claim. Six weeks later, 23 message exchanges, six different agents, the final award was $1,950 because they apply depreciation to everything and refuse to cover lost income. 'Up to a million dollars in protection' is the most misleading marketing on the internet."
4,2026-04-02,Trustpilot,"Used Airbnb for a 2-week stay in Tokyo. The apartment was great. The booking process is overly complex though. I want a 'monthly stay' discount toggle to be more prominent. I want to see total price in the search, not nightly. And the filters could use work — adding a 'remote work friendly' filter would save everyone time. Overall it's still my preferred option for longer trips but with caveats."
1,2026-03-08,App Store,"Description said 'quiet apartment in central neighbourhood.' Apartment is directly above a bar that operates until 2am. Could not sleep first night. Photos showed an ocean view that was a parking lot. After arrival photos. Airbnb refund process refunded the unused nights but the listing is still live with the same misleading description. Why is this allowed."
2,2026-04-11,Google Play,"As a host, the rating distribution is unfair. A 4-star review tanks our Superhost status. Guests think 4 stars is good. We message guests reminding them what the scale means which feels desperate. Either fix the scale or fix the threshold. The current system rewards politeness in raters and punishes hosts who get honest moderate reviews."
5,2026-04-17,App Store,"Took my partner to Sedona for our anniversary. The host had been doing this for 10 years and it showed — written instructions, local recommendations, charging cables of every type in a drawer. The trip was perfect. This is the Airbnb that the early reviews talked about. It exists. You just have to filter carefully."
1,2026-03-19,Trustpilot,"My account was suspended without explanation 4 days before a booking. I could not access my booking, contact my host, or get a response from support for 11 days. The auto-response said 1-3 business days. I missed my check-in. I'm out the booking cost and the cost of last-minute alternative accommodation. The account verification process needs human oversight for legitimate users."
3,2026-04-25,Google Play,"I'm a Superhost with 2 properties. Platform works fine for me. The biggest frustration is the review compression — 4.8 average is the bar and the actual rating distribution is so tight that one mediocre guest can derail a quarter. Otherwise Smart Pricing is okay, the analytics dashboard has improved, support is decent for hosts. Don't trust it for guests though — that's a different story."
1,2026-02-04,App Store,"Arrived at 10pm after a long flight, lockbox code didn't work, host unresponsive for an hour. Standing outside a building in Madrid with a suitcase, called Airbnb, they put me on hold for 25 minutes. Eventually offered me alternative accommodation 'no guarantee on quality.' Booked a hotel from my phone instead. Refund came 4 days later. This is exactly the failure mode hotels don't have."
4,2026-03-30,App Store,"Solid platform for vacation rentals. I've used it 50+ times. The product works. Customer support is where it falls down. When everything goes right, great experience. When things go wrong, you're routed through chatbots and script-reading agents who change every message. I'd pay more for a tier with real human support."
2,2026-04-19,Google Play,"Last 3 stays the apartments didn't match the photos. Photos are wide-angle and old. There should be a 'photos taken within last 6 months' verification. The trust in photos has eroded to where I now message every host asking for new photos before booking, which is absurd."
