ticket_id,type,customer_message,agent_reply,follow_up,status
T-10847,verification_stuck,"Hi I've been trying to verify my account for THREE DAYS now. I uploaded my passport, took the selfie, did the video. The app keeps saying ""verification in progress"" but nothing is happening. I urgently need to access my funds because I have rent due tomorrow. Please help, this is unacceptable.","Hi Maria, thanks for reaching out. I can see your verification is currently in our review queue. Could you please re-upload a clearer photo of your passport? The current image appears slightly blurred at the edges. Once you submit a new photo, our team will prioritise the review.","Updated the photo as requested 4 hours ago. Still nothing. I'm at the point where I'm going to dispute the deposit I made and go back to my old bank. This is the worst onboarding experience I've ever had.",unresolved
T-10912,transfer_delayed,"My GBP transfer to a UK bank account was supposed to arrive instantly via Faster Payments. It's been 6 hours. The recipient hasn't received it. Reference: 8847221. Please advise.","Hello, I've checked the transfer reference and can confirm the payment was sent successfully on our side at 14:23 GMT. Sometimes recipient banks have delayed processing, particularly for new payee setups. I'd recommend asking the recipient to check with their bank. The funds should appear within 24 hours.",,resolved
T-10923,card_abroad,"I'm in Thailand right now and my card just got declined at the hotel. I've travelled here many times before with no issues. Can you check what's happening? I have no cash and the hotel needs payment by midnight local time.","Hi David, I can see a security flag was triggered due to unusual location activity. I've manually verified the transaction and removed the temporary block. Please try the transaction again. If it fails, contact us immediately and we'll escalate.","Worked the second time, thank you for the quick response. Just frustrating that I had to contact support at all - I had notified the app I'd be travelling.",resolved
T-10956,dispute,"I want to dispute a charge for 89.99 GBP from ""DIGITAL SUBSCRIPTION CO"" on the 14th. I never signed up for this. I think my card details have been compromised. Please refund and freeze the card.","Hi, I've initiated a dispute on the transaction and frozen your card immediately. A new card will be issued and dispatched within 5-7 business days. The disputed amount has been provisionally credited back to your account while we investigate. You'll receive an update within 10 business days.",,resolved
T-11003,fees_question,"Can someone please explain why I was charged a 2.50 fee for an ATM withdrawal in Spain when I'm on the Plus plan? Plus plan was supposed to include free ATM withdrawals up to 200 EUR per month.","Hello Linda, the Plus plan includes free ATM withdrawals up to a monthly limit of 200 EUR. Looking at your account, you've withdrawn 247 EUR across 3 transactions this month, exceeding the limit by 47 EUR. The 2.50 fee is for the portion above the limit. Full details available in our fees schedule in the app.","Ok that makes sense but the app didn't warn me I was approaching the limit. That would be useful, otherwise I have no way of tracking it.",resolved
T-11078,premium_cancel,"I want to cancel my Metal subscription. I've been paying 14.99 a month for over a year and I barely use any of the perks. I've already tried to cancel through the app but it keeps showing me retention offers and I just want to stop being charged.","Hi James, I can process the cancellation directly. Your Metal subscription will end on the next billing date (Nov 28). You'll retain Metal benefits until then. After that, your account will downgrade to Standard. Would you like a confirmation email?",Yes please send confirmation. And thanks for not making me jump through more hoops to do this.,resolved
T-11102,suspicious_activity,"URGENT - I just got a notification of a 450 GBP transaction to ""APPLE.COM/BILL"" that I did not make. My phone is right next to me. Please help block any further charges and reverse this one. I'm panicking.","Hi, I've immediately blocked your card and frozen your account. The transaction in question is being investigated. Please confirm: do you have any Apple subscriptions or family-shared subscriptions through someone else's Apple ID?","Oh god you're right. My son has my Apple ID for his iPad and he must have bought something. False alarm. Please unfreeze. I'm so sorry.",resolved
T-11145,transfer_delayed,"My USD to GBP conversion has been ""processing"" for 2 days. Amount: 4500 USD. I need this for a flight tomorrow. The app shows no error, just a spinner. Why is this taking so long?","Hello, I've located the transaction. It's been held for compliance review due to the size of the conversion. I've escalated to the team to expedite. You should receive an update within 24 hours.","24 hours later: still no update. I've now missed my flight booking deadline. Going to file a formal complaint and consider switching to Wise. This is unacceptable for a financial service.",escalated
T-11189,account_closure,"I want to close my account permanently. I've been a customer for 4 years but recent issues have made me lose trust. Please process closure and confirm in writing. I've already withdrawn all my funds.","Hi, sorry to see you go. Before I process the closure, would you mind sharing what specifically led to this decision? Your feedback helps us improve. If you'd still like to proceed, I'll send a closure form to your registered email within 1 hour.","I appreciate the question. The main issues were: (1) account frozen for 11 days without clear communication during a compliance review, (2) support response times that don't match the urgency of financial issues, (3) the constant upselling in the app feels disrespectful when basic things don't work. Please proceed with closure.",resolved
T-11234,verification_stuck,"Trying to add my partner as a beneficiary for international transfers. The verification keeps failing. We've been a couple for 8 years and share an address. Why is this so complicated?","Hi, I understand the frustration. Adding international beneficiaries requires additional verification under regulatory requirements. Could you confirm: which country is the beneficiary based in, and are you trying to send from a Standard or Premium account?",Beneficiary is in Romania. I'm on Standard. The thing is the same transfer worked fine 6 months ago to the same person. Nothing has changed on our end.,unresolved
